url,IsExtracted
https://www.bilbasen.dk/brugt/bil/vw/id5/pro-5d/6154511,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/6151425,false
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/life-5d/6136146,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-1st-max-5d/5960493,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6150146,false
https://www.bilbasen.dk/brugt/bil/vw/id5/pro-performance-5d/6138547,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6154383,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/comfortline-5d/6101732,false
https://www.bilbasen.dk/brugt/bil/vw/id3/max-5d/6116367,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-5d/6032412,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-1st-max-5d/6143753,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6146138,false
https://www.bilbasen.dk/brugt/bil/vw/id3/active-5d/6059448,false
https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6101164,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-business-5d/6093696,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/5872092,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/high-up-5d/6079614,false
https://www.bilbasen.dk/brugt/bil/vw/id5/pro-performance-5d/6142882,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/united-5d/5726799,false
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/life-5d/6159045,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/6151206,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6140313,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6116857,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6128418,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6128421,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6130407,false
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/life-5d/6151140,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6151144,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/unlimited-5d/6151153,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6093495,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-5d/6151204,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6118869,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-1st-max-5d/6134400,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6059922,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6128335,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/move-up-5d/6151211,false
https://www.bilbasen.dk/brugt/bil/vw/id5/pro-performance-5d/6151088,false
https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6108563,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pure-performance-5d/6039672,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6151055,false
https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6151013,false
https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6065712,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6150993,false
https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6065693,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6135723,false
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6151016,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-5d/6032010,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6157059,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6156990,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-5d/6032036,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/6108624,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/united-5d/6135655,false
https://www.bilbasen.dk/brugt/bil/vw/id5/pro-performance-5d/6052653,false
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/style-5d/6108406,false
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-life-5d/6128115,false
https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6087967,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/united-5d/6135587,false
https://www.bilbasen.dk/brugt/bil/vw/id3/max-5d/6135510,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/comfortline-5d/6065539,false
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/6137346,false
https://www.bilbasen.dk/brugt/bil/vw/e-up/5d/6093210,false
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/life-5d/6158603,false
